@relation bank-data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R4-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-precision6

@attribute age numeric
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income {'\'(-inf-24386.173333]\'','\'(24386.173333-43758.136667]\'','\'(43758.136667-inf)\''}
@attribute married {NO,YES}
@attribute children {0,1,2,3}
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
48,FEMALE,INNER_CITY,'\'(-inf-24386.173333]\'',NO,1,NO,NO,NO,NO,YES
40,MALE,TOWN,'\'(24386.173333-43758.136667]\'',YES,3,YES,NO,YES,YES,NO
51,FEMALE,INNER_CITY,'\'(-inf-24386.173333]\'',YES,0,YES,YES,YES,NO,NO
23,FEMALE,TOWN,'\'(-inf-24386.173333]\'',YES,3,NO,NO,YES,NO,NO
57,FEMALE,RURAL,'\'(43758.136667-inf)\'',YES,0,NO,YES,NO,NO,NO
57,FEMALE,TOWN,'\'(24386.173333-43758.136667]\'',YES,2,NO,YES,YES,NO,YES
22,MALE,RURAL,'\'(-inf-24386.173333]\'',NO,0,NO,NO,YES,NO,YES
58,MALE,TOWN,'\'(24386.173333-43758.136667]\'',YES,0,YES,YES,YES,NO,NO
37,FEMALE,SUBURBAN,'\'(24386.173333-43758.136667]\'',YES,2,YES,NO,NO,NO,NO
54,MALE,TOWN,'\'(-inf-24386.173333]\'',YES,2,YES,YES,YES,NO,NO
66,FEMALE,TOWN,'\'(43758.136667-inf)\'',YES,0,NO,YES,YES,NO,NO
52,FEMALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',NO,0,YES,YES,YES,YES,NO
44,FEMALE,TOWN,'\'(-inf-24386.173333]\'',YES,1,NO,YES,YES,YES,YES
66,FEMALE,TOWN,'\'(43758.136667-inf)\'',YES,1,YES,YES,YES,YES,YES
36,MALE,RURAL,'\'(-inf-24386.173333]\'',YES,0,NO,YES,YES,YES,NO
38,FEMALE,INNER_CITY,'\'(-inf-24386.173333]\'',YES,0,YES,YES,YES,YES,NO
37,FEMALE,TOWN,'\'(-inf-24386.173333]\'',YES,2,NO,NO,NO,YES,NO
46,FEMALE,SUBURBAN,'\'(24386.173333-43758.136667]\'',YES,0,NO,YES,NO,YES,NO
62,FEMALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',YES,0,NO,YES,NO,NO,YES
31,MALE,TOWN,'\'(-inf-24386.173333]\'',YES,0,YES,YES,YES,NO,NO
61,MALE,INNER_CITY,'\'(43758.136667-inf)\'',YES,2,NO,YES,NO,NO,YES
50,MALE,TOWN,'\'(-inf-24386.173333]\'',YES,2,NO,YES,YES,NO,NO
54,MALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',YES,0,NO,YES,YES,NO,NO
27,FEMALE,TOWN,'\'(-inf-24386.173333]\'',NO,0,YES,YES,YES,YES,NO
22,MALE,INNER_CITY,'\'(-inf-24386.173333]\'',NO,2,YES,YES,YES,NO,NO
56,MALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',YES,0,YES,YES,YES,YES,NO
45,MALE,INNER_CITY,'\'(-inf-24386.173333]\'',YES,0,NO,YES,YES,YES,NO
39,FEMALE,TOWN,'\'(-inf-24386.173333]\'',YES,1,NO,NO,YES,NO,YES
39,FEMALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',NO,3,YES,NO,YES,YES,NO
61,MALE,RURAL,'\'(-inf-24386.173333]\'',YES,1,NO,NO,YES,NO,YES
61,FEMALE,RURAL,'\'(-inf-24386.173333]\'',YES,2,NO,YES,YES,NO,NO
20,FEMALE,TOWN,'\'(-inf-24386.173333]\'',YES,2,NO,YES,NO,NO,NO
45,MALE,SUBURBAN,'\'(-inf-24386.173333]\'',YES,1,YES,YES,YES,NO,YES
33,FEMALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',NO,3,YES,YES,NO,NO,NO
43,MALE,SUBURBAN,'\'(24386.173333-43758.136667]\'',NO,0,NO,YES,YES,NO,YES
27,FEMALE,INNER_CITY,'\'(-inf-24386.173333]\'',YES,2,NO,YES,YES,NO,NO
19,MALE,RURAL,'\'(-inf-24386.173333]\'',YES,3,YES,YES,YES,NO,NO
36,FEMALE,RURAL,'\'(-inf-24386.173333]\'',NO,0,YES,NO,YES,NO,YES
43,FEMALE,TOWN,'\'(-inf-24386.173333]\'',YES,0,YES,YES,YES,NO,NO
66,FEMALE,SUBURBAN,'\'(24386.173333-43758.136667]\'',NO,2,NO,NO,YES,NO,NO
55,MALE,TOWN,'\'(24386.173333-43758.136667]\'',YES,0,NO,NO,YES,YES,YES
47,FEMALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',YES,0,YES,NO,YES,NO,NO
67,MALE,TOWN,'\'(43758.136667-inf)\'',NO,2,YES,YES,NO,NO,YES
32,FEMALE,TOWN,'\'(24386.173333-43758.136667]\'',YES,0,YES,NO,YES,YES,NO
20,MALE,INNER_CITY,'\'(-inf-24386.173333]\'',NO,2,YES,YES,YES,YES,NO
64,MALE,INNER_CITY,'\'(43758.136667-inf)\'',YES,2,NO,YES,YES,YES,YES
50,FEMALE,INNER_CITY,'\'(-inf-24386.173333]\'',NO,1,YES,YES,YES,NO,YES
29,MALE,INNER_CITY,'\'(-inf-24386.173333]\'',NO,2,NO,YES,YES,YES,YES
52,MALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',NO,2,YES,NO,YES,NO,YES
47,FEMALE,RURAL,'\'(-inf-24386.173333]\'',YES,2,YES,YES,NO,NO,NO
24,MALE,TOWN,'\'(-inf-24386.173333]\'',NO,2,YES,YES,NO,NO,NO
36,MALE,TOWN,'\'(-inf-24386.173333]\'',YES,0,NO,NO,NO,NO,NO
43,MALE,TOWN,'\'(-inf-24386.173333]\'',YES,1,NO,YES,YES,NO,YES
48,MALE,SUBURBAN,'\'(24386.173333-43758.136667]\'',NO,1,NO,YES,YES,NO,YES
63,MALE,TOWN,'\'(43758.136667-inf)\'',YES,0,NO,YES,YES,YES,NO
52,FEMALE,RURAL,'\'(43758.136667-inf)\'',NO,3,NO,YES,NO,NO,YES
58,FEMALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',NO,0,NO,NO,YES,NO,YES
28,MALE,INNER_CITY,'\'(-inf-24386.173333]\'',YES,0,NO,YES,YES,NO,YES
29,FEMALE,INNER_CITY,'\'(-inf-24386.173333]\'',YES,0,NO,NO,YES,NO,NO
34,MALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',NO,1,YES,YES,YES,YES,YES
42,FEMALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',YES,1,NO,YES,YES,YES,YES
65,FEMALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',NO,1,YES,NO,YES,NO,YES
47,MALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',YES,2,NO,YES,YES,NO,NO
20,MALE,INNER_CITY,'\'(-inf-24386.173333]\'',YES,0,NO,YES,NO,NO,NO
21,MALE,TOWN,'\'(-inf-24386.173333]\'',NO,0,YES,YES,YES,YES,NO
